  0.00391   0.00391    -0.000008
  0.00391   0.01172    -0.000023
  0.00391   0.01953    -0.000038
  0.00391   0.02734    -0.000053
  0.00391   0.03516    -0.000069
  0.00391   0.04297    -0.000084
  0.00391   0.05078    -0.000099
  0.00391   0.05859    -0.000114
  0.00391   0.06641    -0.000129
  0.00391   0.07422    -0.000144
  0.00391   0.08203    -0.000158
  0.00391   0.08984    -0.000173
  0.00391   0.09766    -0.000188
  0.00391   0.10547    -0.000202
  0.00391   0.11328    -0.000217
  0.00391   0.12109    -0.000231
  0.00391   0.12891    -0.000245
  0.00391   0.13672    -0.000259
  0.00391   0.14453    -0.000273
  0.00391   0.15234    -0.000286
  0.00391   0.16016    -0.000300
  0.00391   0.16797    -0.000313
  0.00391   0.17578    -0.000326
  0.00391   0.18359    -0.000339
  0.00391   0.19141    -0.000352
  0.00391   0.19922    -0.000364
  0.00391   0.20703    -0.000376
  0.00391   0.21484    -0.000388
  0.00391   0.22266    -0.000400
  0.00391   0.23047    -0.000412
  0.00391   0.23828    -0.000423
  0.00391   0.24609    -0.000434
  0.00391   0.25391    -0.000445
  0.00391   0.26172    -0.000456
  0.00391   0.26953    -0.000466
  0.00391   0.27734    -0.000476
  0.00391   0.28516    -0.000485
  0.00391   0.29297    -0.000495
  0.00391   0.30078    -0.000504
  0.00391   0.30859    -0.000513
  0.00391   0.31641    -0.000521
  0.00391   0.32422    -0.000529
  0.00391   0.33203    -0.000537
  0.00391   0.33984    -0.000545
  0.00391   0.34766    -0.000552
  0.00391   0.35547    -0.000559
  0.00391   0.36328    -0.000565
  0.00391   0.37109    -0.000571
  0.00391   0.37891    -0.000577
  0.00391   0.38672    -0.000583
  0.00391   0.39453    -0.000588
  0.00391   0.40234    -0.000593
  0.00391   0.41016    -0.000597
  0.00391   0.41797    -0.000601
  0.00391   0.42578    -0.000605
  0.00391   0.43359    -0.000608
  0.00391   0.44141    -0.000611
  0.00391   0.44922    -0.000614
  0.00391   0.45703    -0.000616
  0.00391   0.46484    -0.000618
  0.00391   0.47266    -0.000619
  0.00391   0.48047    -0.000621
  0.00391   0.48828    -0.000621
  0.00391   0.49609    -0.000622
  0.00391   0.50391    -0.000622
  0.00391   0.51172    -0.000621
  0.00391   0.51953    -0.000621
  0.00391   0.52734    -0.000619
  0.00391   0.53516    -0.000618
  0.00391   0.54297    -0.000616
  0.00391   0.55078    -0.000614
  0.00391   0.55859    -0.000611
  0.00391   0.56641    -0.000608
